date,gross_return,strategy_return,turnover,trading_cost,equity_exposure,cash_weight,benchmark_return,classic_momentum_return,classic_equity_exposure,equal_weight_return,strategy_nav,classic_momentum_nav,benchmark_nav,equal_weight_nav,strategy_value,classic_momentum_value,benchmark_value,equal_weight_value
2019-09-24,0.006215932309208637,0.006215932309208583,0.0,0.0,0.84450597466732,0.15549402533267997,0.0026782088386032576,0.027823722053618605,1.0,0.006404727014658995,1.012233298062408,1.0276786434490073,1.0256634073622246,1.0541952686052412,101223.3298062408,102767.86434490072,102566.34073622247,105419.52686052411
2019-09-25,-0.00810285681905323,-0.008102856819053206,0.0,0.0,0.8432357362840857,0.15676426371591434,-0.007715812031539926,-0.005541711344932088,1.0,-0.011020215975642955,1.0040313165807304,1.0219835450516614,1.017749581303389,1.0425778090647104,100403.13165807303,102198.35450516615,101774.9581303389,104257.78090647105
2019-09-26,-0.007831019673452837,-0.007831019673452788,0.0,0.0,0.84199842282479,0.15800157717521002,-0.007708642255966236,-0.014661306547864572,1.0,-0.008144740860974498,0.996168727587824,1.0069999310107858,1.0099041138749618,1.0340862829824757,99616.87275878241,100699.99310107858,100990.41138749618,103408.62829824757
2019-09-27,0.004701658507008422,0.004701658507008322,0.0,0.0,0.8427378159104454,0.1572621840895546,0.002996506245541708,0.003154951940506967,1.0,0.004228613187531316,1.000852372760303,1.0101769673972187,1.0129302978595864,1.0384590338757407,100085.2372760303,101017.69673972187,101293.02978595864,103845.90338757407
2019-09-30,-0.011617498266833955,-0.011617498266834003,0.0,0.0,0.840889348188794,0.15911065181120598,-0.009894488209414298,-0.03197584785917218,1.0,-0.012961607874241277,0.9892249720544034,0.9778757023768854,1.0029078709704562,1.0249989350851798,98922.49720544035,97787.57023768853,100290.78709704561,102499.89350851798
2019-10-08,0.008545647678300631,0.008367692772971003,0.17644705099799174,0.00017644705099799173,0.9363618606852255,0.06363813931477447,0.006068899707172282,0.021672031562408156,1.0,0.008925287486849509,0.9975025027039055,0.9990682554629092,1.0089944182549095,1.0341473452545296,99750.25027039055,99906.82554629093,100899.44182549095,103414.73452545295
2019-10-09,-0.010036565688145024,-0.010036565688145038,0.0,0.0,0.9357166768901818,0.06428332310981821,0.0014487919784869074,-0.003153939042039422,1.0,-0.007994880959404371,0.9874910033114287,0.9959172550863425,1.0104562412744154,1.0258794603347356,98749.10033114286,99591.72550863425,101045.62412744154,102587.94603347356
2019-10-10,0.011536091565243569,0.0115360915652436,0.0,0.0,0.9364497978412746,0.06355020215872542,0.008170189735743794,0.022170834898958214,1.0,0.00992453942843241,0.9988827899454836,1.0179975721218855,1.0187118604852938,1.0360608414876467,99888.27899454837,101799.75721218855,101871.18604852939,103606.08414876467
2019-10-11,0.010035198184420809,0.01003519818442089,0.0,0.0,0.9370812004641426,0.06291879953585744,0.009572502219561185,0.023774440351374437,0.9999999999999999,0.012711558799294309,1.008906776705594,1.0421998946781412,1.0284634820308827,1.0492307897938633,100890.6776705594,104219.98946781413,102846.34820308827,104923.07897938634
2019-10-14,0.007550772618518313,0.00755077261851822,0.0,0.0,0.9375527256335302,0.062447274366469796,0.010611673096047047,0.038270777810258894,1.0,0.009223085521750107,1.01652480236978,1.0820856952812437,1.0393772002934167,1.0589079351001855,101652.480236978,108208.56952812437,103937.72002934167,105890.79351001856
2019-10-15,-0.0008625311697358171,-0.0008625311697357807,0.0,0.0,0.9374988164145422,0.06250118358545775,-0.004297740587467458,-0.00601949419961556,1.0,-0.003382129364763231,1.0156480180429266,1.0755720867150111,1.0349102267140273,1.0553265714783024,101564.80180429266,107557.20867150111,103491.02267140274,105532.65714783025
2019-10-16,-0.011554758577389003,-0.011554758577388968,0.0,0.0,0.9367681880935524,0.06323181190644755,-0.003444903143855149,-0.019441968103173224,1.0,-0.012299705930309157,1.003912450394837,1.0546608485124345,1.0313450612204123,1.042346364988678,100391.24503948369,105466.08485124345,103134.50612204123,104234.6364988678
2019-10-17,0.005462143872237248,0.005462143872237313,0.0,0.0,0.9371116930738642,0.06288830692613578,0.0006449655720945913,0.026868421338570814,1.0,0.0028789305734442383,1.0093959646340238,1.0829979205595612,1.0320102432778493,1.0453472078069623,100939.59646340238,108299.79205595612,103201.02432778492,104534.72078069624
2019-10-18,-0.01527426603836677,-0.01527426603836679,0.0,0.0,0.9361362207189096,0.06386377928109044,-0.014225954214031278,-0.013872380810253215,1.0,-0.016642511608402244,0.9939781821321498,1.0679741609888467,1.0173289128085674,1.027950004766224,99397.81821321498,106797.41609888467,101732.89128085674,102795.0004766224
2019-10-21,0.00020161726900809633,0.00020161726900802535,0.0,0.0,0.9361490941641679,0.06385090583583208,0.0029617147966858326,0.013046678028388659,1.0,0.004365257003273726,0.9941785852986849,1.0819076760099067,1.020341950902729,1.032437270723545,99417.85852986849,108190.76760099067,102034.1950902729,103243.7270723545
